"","accession","n_seeds","total_area","mean_area","seed_area_sd","mean_convex_hull_area","total_perimeter","mean_perimeter","mean_seed_length","mean_seed_width","mean_seed_extent","mean_solidity","mean_equi_dia","mean_aspect_ratio","plant_id","seedlot","remainder_seed_weight_g","seed_5rac_wt_g","number_of_racemes","subsample","total_seed_weight_g","image_weights_g","seeds_per_g"
"18","2403",111,89552.5,806.779279279279,83.3813442368769,832.846846846847,12170.9445369244,109.648148981301,37.227076848348,28.1442696167542,0.711014569794697,0.968863230689663,32.005216563625,0.758410730397151,"Ta07527","Oa076AA086940_seed_lot",0.7333,0.1831,NA,NA,0.9164,0.1831,606.226105953031
"19","2404",19,4492,236.421052631579,191.760503345384,249.921052631579,1122.69046747684,59.0889719724655,21.4607873213919,13.7800009878058,0.650620423953153,0.9480591697526,16.2700893013074,0.666342887333932,"Ta07536","Oa076AA086940_seed_lot",0.5251,0.0059,NA,NA,0.531,0.0059,3220.33898305085
"20","2405",114,111694.5,979.776315789474,103.905379269669,1009.07456140351,13718.3355859518,120.336277069753,40.3466786836323,31.5050836864271,0.719020028548377,0.970887149008513,35.2664686901209,0.781973750625734,"Ta07818","Oa085AA087189_seed_lot",2.4684,0.595,NA,0.2411,3.0634,0.2411,472.832849440066
"21","2406",70,42298,604.257142857143,288.579777516926,628.014285714286,6558.87785851955,93.6982551217079,31.7894501277379,24.0582909379687,0.691235046182714,0.952560773098854,26.862340262252,0.76540027434036,"Ta07911","Oa087AA087249_seed_lot",0.1271,0.0724,NA,NA,0.1995,0.0724,966.850828729282
"22","2407",34,9858,289.941176470588,246.836032090066,301.735294117647,2139.86621510983,62.9372416208772,22.0032944118275,15.8824263180003,0.65271270202501,0.945201493807228,17.8490835358572,0.711844303010461,"Ta07531","Oa076AA086940_seed_lot",0.1921,0.0138,NA,NA,0.2059,0.0138,2463.76811594203
"23","2408",180,101092.5,561.625,175.166161139587,580.65,16441.0546039343,91.3391922440794,31.8402397208744,22.7110673242145,0.69500037166645,0.965336017435373,26.3499564143154,0.716298572316333,"Ta07530","Oa076AA086940_seed_lot",0.2631,0.1757,NA,NA,0.4388,0.1757,1024.47353443369
"24","2409",12,8206,683.833333333333,208.857316816718,708.166666666667,1198.85698640347,99.9047488669554,34.0636553764343,25.5679543018341,0.681721745326366,0.951232646566625,28.8220581629628,0.736284684019895,"Ta07529","Oa076AA086940_seed_lot",0.1428,0.0144,NA,NA,0.1572,0.0144,833.333333333333
"25","2410",120,120391,1003.25833333333,91.2725621544662,1034.3625,14664.4747549295,122.20395629108,41.1183190981547,31.8174833933512,0.719104060332394,0.969863206730138,35.702466878897,0.775042015319914,"Ta07817","Oa085AA087189_seed_lot",1.0106,0.4955,NA,0.2576,1.5061,0.2576,465.83850931677
"26","2411",89,48530,545.280898876405,201.906326095456,564.151685393258,7915.6170964241,88.9395179373495,29.944934973556,23.343915114242,0.701739972606765,0.95950816942909,25.809178900726,0.782425335439825,NA,NA,0.2365,0.0939,NA,NA,0.3304,0.0939,947.816826411076
"27","2412",16,8232.5,514.53125,244.93002189401,531.875,1372.15344965458,85.7595906034112,29.4754272699356,21.8174054324627,0.686348899797814,0.962646379443348,24.7791026868093,0.736078922994204,"Ta07904","Oa087AA087249_seed_lot",0.1815,0.0131,NA,NA,0.1946,0.0131,1221.37404580153
"28","2413",24,21385.5,891.0625,130.718941152715,925.083333333333,2830.71606302261,117.946502625942,42.0116834640503,27.7147614955902,0.691348119209348,0.963554901681489,33.5950405332374,0.672429187982368,"Ta07909","Oa087AA087249_seed_lot",0.0054,0.0422,NA,NA,0.0476,0.0422,568.720379146919
"29","2414",36,10102.5,280.625,162.007115143573,297.861111111111,2372.55964565277,65.9044346014659,23.1662080817752,16.2299988269806,0.628610096713074,0.926347785899493,18.1980252955628,0.710363051444288,"Ta07485","Oa074AA086889_seed_lot",0.5199,0.0111,NA,NA,0.531,0.0111,3243.24324324324
"30","2415",3,1744,581.333333333333,454.263231324453,600.666666666667,261.622364163399,87.2074547211329,30.6198202768962,21.4347716967265,0.655119991763643,0.932438581414673,24.8831221180015,0.649765692791892,"Ta07628","Oa079AA087039_seed_lot",0.0144,0.0033,"2",NA,0.0177,0.0033,909.090909090909
"31","2416",114,115864.5,1016.35526315789,172.149807724225,1052.37719298246,14124.5021011829,123.899141238447,43.0153437079045,30.5642375987873,0.705921936206631,0.964663507622862,35.7478346990315,0.711552902689343,"Ta07906","Oa087AA087249_seed_lot",0.6581,0.51,NA,0.2401,1.1681,0.2401,474.802165764265
"32","2417",31,16320,526.451612903226,358.983387610966,549.193548387097,2619.79723238945,84.5095881415952,28.3694338029431,21.5271046238561,0.677222757782949,0.952071198222517,24.046566697145,0.762273349675888,"Ta07503","Oa074AA086906_seed_lot",0.5186,0.0274,NA,NA,0.546,0.0274,1131.38686131387
"33","2419",133,122116,918.165413533835,113.690747501463,946.210526315789,15463.140827179,116.264216745706,38.3500638545904,31.1164847209041,0.722231711151901,0.970385797158786,34.120570198212,0.814543243391685,"Ta07626","Oa079AA087039_seed_lot",0.5295,0.8387,NA,0.281,1.3682,0.281,473.309608540925
"34","2420",110,62502.5,568.204545454545,197.318169642059,587.468181818182,10083.5838202238,91.6689438202164,31.7269603209062,22.9275924075734,0.704899393450785,0.966314432385637,26.4723504831628,0.732210795880107,"Ta07504","Oa074AA086906_seed_lot",0.6766,0.1216,NA,NA,0.7982,0.1216,904.605263157895
"35","2421",47,13310.5,283.202127659574,192.52031681534,296.723404255319,2989.88763308525,63.6146304911756,21.8497688009384,16.3804965729409,0.653030135980863,0.947320723105572,18.1206084008592,0.755232970923883,"Ta07508","Oa074AA086906_seed_lot",0.4695,0.0185,NA,NA,0.488,0.0185,2540.54054054054
