,Midoenvelope_ID,whole_plant_seed_wt_g,five_raceme_mass_g,number_of_racemes,Sub Sample,notes,Unnamed: 6,imageFile,imageName,weightMeasured
241,2845,2.7173,0.9903,,0.2282,,,True,2845,True
242,2846,0.7144,0.1753,,0.0997,,,False,2846,
243,2847,0.2587,0.2133,,0.107,,,True,2847,True
244,2848,2.6535,0.2367,,,,,True,2848,True
245,2849,0.9255,0.1397,,,,,True,2849,True
246,2850,2.103,0.3185,,,,,True,2850,True
247,2851,0.017,0,,,,,True,2851,True
248,2852,1.1352,0.0525,,,,,True,2852,True
249,2853,8.5591,0.62,,,,,True,2853,True
250,2854,0.0063,0.2574,,,,,True,2854,True
251,2855,0.5963,0.1327,,,,,True,2855,True
252,2856,0.3406,0.0751,,,,,True,2856,True
253,2857,0.8097,0.1531,,,,,False,2857,
254,2858,5.1612,0.3468,,0.2075,,,False,2858,
255,2862,1.1181,0.0294,,,,,True,2862,True
256,2863,3.5612,0.4292,,0.1743,,,True,2863,True
257,2866,2.2254,0.0666,,,,,True,2866,True
258,2867,1.3789,0.4666,,,,,True,2867,True
259,2885,0.5486,0.0416,,,,,True,2885,True
260,2886,4.8667,0.437,,0.2413,,,True,2886,True
261,2905,0.4213,0.0241,,,,,True,2905,True
262,2907,2.4299,0.0886,,,,,True,2907,True
263,2925,1.7541,0.15,,,,,True,2925,True
264,2926,1.6273,0.199,,,,,True,2926,True
265,2927,1.0833,0.0452,,,,,True,2927,True
266,2928,0.0675,0.0576,,,,,True,2928,True
267,2931,0.3939,0.089,,,,,True,2931,True
268,2932,2.9336,0.013,,,,,True,2932,True
269,2944,0.3369,0.2423,,,,,True,2944,True
270,2948,3.8367,0.4977,,,,,True,2948,True
271,2955,0.7546,0.0464,,,,,True,2955,True
272,2956,1.0972,0.0463,,,,,True,2956,True
273,2957,2.2743,0.2582,,,,,True,2957,True
274,2961,0.893,0.1598,,,,,True,2961,True
275,2971,0.0039,0.0218,,,,,True,2971,True
276,2973,6.3198,0.755,,0.3204,,,True,2973,True
277,2981,1.7854,0.0344,,,,,True,2981,True
278,2987,3.2723,0.3178,,,,,True,2987,True
279,2988,2.2293,0.2024,,0.1256,,,True,2988,True
280,2990,2.6752,0.2677,,0.2277,,,True,2990,True
281,3006,0.3852,0.0435,,,,,True,3006,True
282,3007,0.027,0.0157,,,,,True,3007,True
283,3008,5.098,0.2782,,,,,True,3008,True
284,3009,4.2904,0.1701,,,,,True,3009,True
285,3023,1.6784,0.4499,,0.2424,,,True,3023,True
286,3030,0.9228,0.2065,,,,,True,3030,True
287,3046,1.4707,0.0031,,,,,True,3046,True
288,3048,2.9992,0.0478,,,,,True,3048,True
289,3054,0.8866,0.0278,,,,,True,3054,True
290,3057,2.7932,0.0331,,,,,True,3057,True
291,3059,2.8127,0.4437,,0.2127,,,True,3059,True
292,3061,0.9337,0.0826,,,,,True,3061,True
293,3064,0.6918,0.5,,0.1697,,,True,3064,True
294,3069,1.6717,0.1238,,,,,True,3069,True
295,3073,0.1207,0.0292,,,,,True,3073,True
296,3075,1.3728,0.0137,,,,,True,3075,True
297,3076,0.7955,0.0506,,,,,True,3076,True
298,3087,0.076,0.0066,,,,,True,3087,True
299,3091,2.8082,0.006,,,,,True,3091,True
300,3094,0.4634,0.0085,,,,,True,3094,True
301,3110,0.4601,0.0082,,,,,True,3110,True
302,3112,2.2628,0.2772,,,,,True,3112,True
303,3114,1.6435,0.1194,,,,,True,3114,True
304,3122,0.3959,0.1073,,,,,True,3122,True
305,3134,0.3153,0.2079,,,,,True,3134,True
306,3140,1.487,0,,,,,False,3140,
307,3145,1.9736,0.205,,0.1774,,,True,3145,True
308,3149,0.012,0.0049,,,,,True,3149,True
309,3152,1.4035,0.1147,,,,,True,3152,True
310,3159,0.3131,0.0225,,,,,True,3159,True
311,3161,0.4847,0.0224,,,,,True,3161,True
312,3172,0.4273,0.083,,,,,True,3172,True
313,3180,4.2912,0.4775,,,,,True,3180,True
314,3182,0.0746,0.0305,,,,,True,3182,True
315,3183,0.2869,0.0772,,,,,True,3183,True
316,3190,1.4584,0.2051,,,,,True,3190,True
317,3194,0.8863,0.1963,,0.1191,,,True,3194,True
318,3197,3.1742,0.1537,,,,,True,3197,True
319,3209,2.79,0.0211,,,,,True,3209,True
320,3222,2.7994,0.2235,,,,,True,3222,True
321,3223,2.7786,0.2552,,0.1618,,,True,3223,True
322,3228,3.1325,0.2301,,,,,True,3228,True
323,3231,1.763,0.0051,,,,,True,3231,True
324,3233,0.5673,0.0804,,,,,True,3233,True
325,3234,1.1704,0.083,,,,,True,3234,True
326,3236,0.5681,0.1191,,0.0904,,,False,3236,
327,3243,0.0683,0.0311,,,,,True,3243,True
328,3245,7.8657,1.0827,,0.1913,,,False,3245,
329,3247,0.0231,0.0653,,,,,True,3247,True
330,3247,0.0028,0.0657,,,,,True,3247,True
331,3248,0.0194,0.0188,,,,,False,3248,
332,3249,0.5536,0.3327,,,,,True,3249,True
333,3250,1.8113,0.1325,,,,,True,3250,True
334,3252,1.0752,0.0809,,,,,True,3252,True
335,3255,3.1425,0.1023,,,,,True,3255,True
336,3259,1.1434,0.0249,,,,,True,3259,True
337,3263,1.4504,0.4961,,0.1931,,,True,3263,True
338,3270,0.0559,0.0024,,,,,False,3270,
339,3274,3.7987,1.4662,,0.1591,,,False,3274,
340,3275,2.2221,0.2336,,,,,False,3275,
341,3276,12.4306,0.9459,,0.1924,,,False,3276,
342,3277,0.1404,0.1684,,,,,False,3277,
343,3278,0.5173,0.0634,,,,,False,3278,
